    tuple 56 (u*3, 5, 1) P=15 g=2  tried 52 with 2+ points 2 factorwise 1   WITNESS d = -8805
    tuple 57 (u*3, 5, u) P=15 g=1  tried 1 with 1+ points 1 factorwise 1   WITNESS d = -30
    tuple 58 (u*3, 5, 7) P=105 g=1  tried 6 with 1+ points 1 factorwise 1   WITNESS d = 8295
    tuple 59 (u*3, 5, u*7) P=105 g=1  tried 13 with 1+ points 5 factorwise 1   WITNESS d = -15645
    tuple 60 (u*3, u*5, 1) P=15 g=2  tried 26 with 2+ points 1 factorwise 1   WITNESS d = 4785
    tuple 61 (u*3, u*5, u) P=15 g=1  tried 5 with 1+ points 3 factorwise 1   WITNESS d = 510
    tuple 62 (u*3, u*5, 7) P=105 g=1  tried 26 with 1+ points 5 factorwise 1   WITNESS d = 31290
    tuple 63 (u*3, u*5, u*7) P=105 g=1  tried 1 with 1+ points 1 factorwise 1   WITNESS d = -210
  tuples witnessed: 64 / 64
  elapsed ms = 16607
  witnesses = [781, -11, -1169, 3451, 3343, 223, -1883, 1687, 3355, 55, -2345, 25795, -185, -365, 7315, -1085, -451, 131, -511, 581, 53, -127, 15743, 7973, 1730, 5, -6895, 770, -985, 290, 665, -4585, -789, -519, 3486, 1659, 16158, 957, 25977, -987, -20445, 255, -6405, -22470, 18615, 1335, 2415, 1785, 366, -561, 15414, -714, 5343, -498, 21147, 9933, -8805, -30, 8295, -15645, 4785, 510, 31290, -210]
